id,gtld,whois_server
1,aaa,whois.nic.aaa
2,able,whois.nic.able
3,ac,whois.nic.ac
4,academy,whois.nic.academy
5,accountant,whois.nic.accountant
6,actor,whois.nic.actor
7,ad,whois.ripe.net
8,ae,whois.aeda.net.ae
9,aero,whois.aero
10,aetna,whois.nic.aetna
11,af,whois.nic.af
12,afl,whois.nic.afl
13,africa,whois.nic.africa
14,ag,whois.nic.ag
15,agency,whois.nic.agency
16,aig,whois.nic.aig
17,al,whois.ai
18,alstom,whois.nic.alstom
19,am,whois.amnic.net
20,americanexpress,whois.nic.americanexpress
21,amex,whois.nic.amex
22,amica,whois.nic.amica
23,amsterdam,whois.nic.amsterdam
24,analytics,whois.nic.analytics
25,anz,whois.nic.anz
26,aramco,whois.nic.aramco
27,archi,whois.nic.archi
28,arpa,whois.iana.org
29,art,whois.nic.art
30,as,whois.nic.as
31,asia,whois.nic.asia
32,associates,whois.nic.associates
33,at,whois.nic.at
34,athleta,whois.nic.athleta
35,au,whois.ausregistry.net
36,audible,whois.nic.audible
37,auspost,whois.nic.auspost
38,author,whois.nic.author
39,aw,whois.nic.aw
40,aws,whois.nic.aws
41,ax,whois.ax
42,axa,whois.nic.axa
43,az,whois.ripe.net
44,ba,whois.ripe.net
45,baby,whois.nic.baby
46,banamex,whois.nic.banamex
47,bananarepublic,whois.nic.bananarepublic
48,bar,whois.nic.bar
49,barclaycard,whois.nic.barclaycard
50,barclays,whois.nic.barclays
51,bargains,whois.nic.bargains
52,baseball,whois.nic.baseball
53,be,whois.dns.be
54,beats,whois.nic.beats
55,berlin,whois.nic.berlin
56,best,whois.nic.best
57,bg,whois.register.bg
58,bi,whois1.nic.bi
59,bible,whois.nic.bible
60,bid,whois.nic.bid
61,bike,whois.nic.bike
62,biz,whois.biz
63,black,whois.nic.black
64,blackfriday,whois.nic.blackfriday
65,blue,whois.nic.blue
66,bo,whois.nic.bo
67,bond,whois.nic.bond
68,book,whois.nic.book
69,booking,whois.nic.booking
70,bot,whois.nic.bot
71,boutique,whois.nic.boutique
72,box,whois.nic.box
73,br,whois.nic.br
74,brussels,whois.nic.brussels
75,build,whois.nic.build
76,builders,whois.nic.builders
77,buy,whois.nic.buy
78,buzz,whois.nic.buzz
79,by,whois.ripe.net
80,bz,bzwhois.verisign-grs.com
81,ca,whois.cira.ca
82,cab,whois.nic.cab
83,call,whois.nic.call
84,calvinklein,whois.nic.calvinklein
85,cam,whois.nic.cam
86,camera,whois.nic.camera
87,camp,whois.nic.camp
88,cancerresearch,whois.nic.cancerresearch
89,capetown,whois.nic.capetown
90,capital,whois.nic.capital
91,caravan,whois.nic.caravan
92,cards,whois.nic.cards
93,care,whois.nic.care
94,career,whois.nic.career
95,careers,whois.nic.careers
96,cartier,whois.nic.cartier
97,cash,whois.nic.cash
98,cat,whois.cat
99,catering,whois.nic.catering
100,catholic,whois.nic.catholic
101,cba,whois.nic.cba
102,cbn,whois.nic.cbn
103,cbre,whois.nic.cbre
104,cc,ccwhois.verisign-grs.com
105,center,whois.nic.center
106,ceo,whois.nic.ceo
107,cf,whois.dot.cf
108,ch,whois.nic.ch
109,chase,whois.nic.chase
110,cheap,whois.nic.cheap
111,chintai,whois.nic.chintai
112,christmas,whois.nic.christmas
113,circle,whois.nic.circle
114,cisco,whois.nic.cisco
115,citadel,whois.nic.citadel
116,citi,whois.nic.citi
117,citic,whois.nic.citic
118,ck,whois.ck-nic.org.ck
119,cl,whois.nic.cl
120,cleaning,whois.nic.cleaning
121,clinic,whois.nic.clinic
122,clothing,whois.nic.clothing
123,cloud,whois.nic.cloud
124,club,whois.nic.club
125,cn,whois.cnnic.net.cn
126,co,whois.nic.co
127,codes,whois.nic.codes
128,coffee,whois.nic.coffee
129,college,whois.nic.college
130,cologne,whois.nic.cologne
131,com,whois.verisign-grs.com
132,commbank,whois.nic.commbank
133,community,whois.nic.community
134,company,whois.nic.company
135,compare,whois.nic.compare
136,computer,whois.nic.computer
137,condos,whois.nic.condos
138,construction,whois.nic.construction
139,consulting,whois.nic.consulting
140,contractors,whois.nic.technology
141,cooking,whois.nic.cooking
142,cool,whois.nic.cool
143,coop,whois.nic.coop
144,country,whois.nic.country
145,coupon,whois.nic.coupon
146,courses,whois.nic.courses
147,cr,whois.nic.cr
148,creditcard,whois.nic.creditcard
149,cricket,whois.nic.cricket
150,cruise,whois.nic.cruise
151,cruises,whois.nic.cruises
152,cuisinella,whois.nic.cuisinella
153,cx,whois.nic.cx
154,cy,whois.ripe.net
155,cymru,whois.nic.cymru
156,cz,whois.nic.cz
157,dance,whois.nic.dance
158,date,whois.nic.date
159,dating,whois.nic.dating
160,de,whois.denic.de
161,deal,whois.nic.deal
162,dealer,whois.nic.dealer
163,dell,whois.nic.dell
164,democrat,whois.nic.democrat
165,dental,whois.nic.dental
166,desi,whois.nic.desi
167,diamonds,whois.nic.diamonds
168,digital,whois.nic.digital
169,directory,whois.nic.directory
170,discount,whois.nic.discount
171,discover,whois.nic.discover
172,dk,whois.dk-hostmaster.dk
173,dm,whois.nic.dm
174,dnp,whois.nic.dnp
175,do,ns.nic.do
176,doha,whois.nic.doha
177,domains,whois.nic.domains
178,download,whois.nic.download
179,duns,whois.nic.duns
180,dupont,whois.nic.dupont
181,durban,whois.nic.durban
182,earth,whois.nic.earth
183,ec,whois.nic.ec
184,edu,whois.educause.net
185,education,whois.nic.education
186,ee,whois.tld.ee
187,eg,whois.ripe.net
188,email,whois.nic.email
189,engineering,whois.nic.engineering
190,enterprises,whois.nic.enterprises
191,equipment,whois.nic.equipment
192,es,whois.nic.es
193,estate,whois.nic.estate
194,eu,whois.eu
195,eus,whois.nic.eus
196,events,whois.nic.events
197,everbank,whois.nic.everbank
198,exchange,whois.nic.exchange
199,expert,whois.nic.expert
200,exposed,whois.nic.exposed
201,fail,whois.nic.fail
202,faith,whois.nic.faith
203,farm,whois.nic.farm
204,farmers,whois.nic.farmers
205,fast,whois.nic.fast
206,feedback,whois.nic.feedback
207,ferrero,whois.nic.ferrero
208,fi,whois.ficora.fi
209,film,whois.nic.film
210,finance,whois.nic.finance
211,financial,whois.nic.financial
212,fire,whois.nic.fire
213,fish,whois.nic.fish
214,fishing,whois.nic.fishing
215,fitness,whois.nic.fitness
216,flickr,whois.nic.flickr
217,flights,whois.nic.flights
218,flir,whois.nic.flir
219,florist,whois.nic.florist
220,fm,whois.nic.fm
221,fo,whois.nic.fo
222,foo,whois.nic.foo
223,food,whois.nic.food
224,ford,whois.nic.ford
225,foundation,whois.nic.foundation
226,fox,whois.nic.fox
227,fr,whois.nic.fr
228,free,whois.nic.free
229,frl,whois.nic.frl
230,frogans,whois.nic.frogans
231,frontier,whois.nic.frontier
232,ftr,whois.nic.ftr
233,fun,whois.nic.fun
234,fund,whois.nic.fund
235,furniture,whois.nic.furniture
236,futbol,whois.nic.futbol
237,ga,whois.dot.ga
238,gal,whois.nic.gal
239,gallery,whois.nic.gallery
240,game,whois.nic.game
241,gap,whois.nic.gap
242,gb,whois.ripe.net
243,gd,whois.adamsnames.com
244,ge,whois.ripe.net
245,gg,whois.gg
246,gift,whois.nic.gift
247,giving,whois.nic.giving
248,gl,whois.ripe.net
249,glass,whois.nic.glass
250,global,whois.nic.global
251,gm,whois.ripe.net
252,gop,whois.nic.gop
253,got,whois.nic.got
254,gov,whois.nic.gov
255,gp,whois.nic.gp
256,gr,whois.ripe.net
257,grainger,whois.nic.grainger
258,graphics,whois.nic.graphics
259,gratis,whois.nic.gratis
260,green,whois.nic.green
261,gripe,whois.nic.gripe
262,gs,whois.nic.gs
263,gucci,whois.nic.gucci
264,guitars,whois.nic.guitars
265,guru,whois.nic.guru
266,gy,whois.registry.gy
267,haus,whois.nic.haus
268,hbo,whois.nic.hbo
269,health,whois.nic.health
270,hk,whois.hkdnr.net.hk
271,hm,webhost1.capital.hm
272,hn,whois2.afilias-grs.net
273,holdings,whois.nic.holdings
274,holiday,whois.nic.holiday
275,homegoods,whois.nic.homegoods
276,homesense,whois.nic.homesense
277,honeywell,whois.nic.honeywell
278,horse,whois.nic.horse
279,hot,whois.nic.hot
280,hoteles,whois.nic.hoteles
281,hotels,whois.nic.hotels
282,house,whois.nic.house
283,hr,whois.ripe.net
284,hsbc,whois.nic.hsbc
285,ht,whois.nic.ht
286,hu,whois.nic.hu
287,hyatt,whois.nic.hyatt
288,ibm,whois.nic.ibm
289,icu,whois.nic.icu
290,id,muara.idnic.net.id
291,ie,whois.domainregistry.ie
292,ieee,whois.nic.ieee
293,il,whois.isoc.org.il
294,im,whois.nic.im
295,imdb,whois.nic.imdb
296,immobilien,whois.nic.immobilien
297,in,whois.inregistry.net
298,industries,whois.nic.industries
299,info,whois.afilias.net
300,ink,whois.nic.ink
301,institute,whois.nic.institute
302,insure,whois.nic.insure
303,int,whois.iana.org
304,intel,whois.nic.intel
305,international,whois.nic.international
306,intuit,whois.nic.intuit
307,investments,whois.nic.investments
308,io,whois.nic.io
309,ipiranga,whois.nic.ipiranga
310,ir,whois.nic.ir
311,is,whois.isnic.is
312,iselect,whois.nic.iselect
313,it,whois.nic.it
314,itau,whois.nic.itau
315,iwc,whois.nic.iwc
316,je,whois.je
317,jetzt,whois.nic.jetzt
318,jlc,whois.nic.jlc
319,jmp,whois.nic.jmp
320,jnj,whois.nic.jnj
321,jo,whois.ripe.net
322,jobs,jobswhois.verisign-grs.com
323,joburg,whois.nic.joburg
324,jot,whois.nic.jot
325,joy,whois.nic.joy
326,jp,whois.jprs.jp
327,jpmorgan,whois.nic.jpmorgan
328,kaufen,whois.nic.kaufen
329,ke,whois.kenic.or.ke
330,kg,whois.domain.kg
331,ki,whois.nic.ki
332,kim,whois.nic.kim
333,kinder,whois.nic.kinder
334,kindle,whois.nic.kindle
335,kitchen,whois.nic.kitchen
336,kiwi,whois.nic.kiwi
