id,gtld,whois_server
1,aarp,whois.nic.aarp
2,abarth,whois.afilias-srs.net
3,abbott,whois.afilias-srs.net
4,abbvie,whois.afilias-srs.net
5,abc,whois.nic.abc
6,abogado,whois.nic.abogado
7,abudhabi,whois.nic.abudhabi
8,ac,whois.nic.ac
9,academy,whois.nic.academy
10,accountant,whois.nic.accountant
11,accountants,whois.nic.accountants
12,aco,whois.nic.aco
13,actor,whois.nic.actor
14,adac,whois.nic.adac
15,ads,whois.nic.google
16,adult,whois.registrar.adult
17,ae,whois.aeda.net.ae
18,aeg,whois.nic.aeg
19,aero,whois.aero
20,af,whois.nic.af
21,afamilycompany,whois.nic.afamilycompany
22,afl,whois.nic.afl
23,africa,africa-whois.registry.net.za
24,ag,whois.nic.ag
25,agakhan,whois.afilias-srs.net
26,agency,whois.nic.agency
27,ai,whois.nic.ai
28,airbus,whois.nic.airbus
29,airforce,whois.nic.airforce
30,airtel,whois.nic.airtel
31,akdn,whois.afilias-srs.net
32,alfaromeo,whois.afilias-srs.net
33,alibaba,whois.nic.alibaba
34,alipay,whois.nic.alipay
35,allfinanz,whois.nic.allfinanz
36,allstate,whois.afilias-srs.net
37,ally,whois.nic.ally
38,alsace,whois-alsace.nic.fr
39,alstom,whois.nic.alstom
40,am,whois.amnic.net
41,amazon,whois.nic.amazon
42,americanfamily,whois.nic.americanfamily
43,amfam,whois.nic.amfam
44,amsterdam,whois.nic.amsterdam
45,android,whois.nic.google
46,anquan,whois.teleinfo.cn
47,anz,whois.nic.anz
48,aol,whois.nic.aol
49,apartments,whois.nic.apartments
50,app,whois.nic.google
51,apple,whois.afilias-srs.net
52,aquarelle,whois.nic.aquarelle
53,ar,whois.nic.ar
54,arab,whois.nic.arab
55,archi,whois.afilias.net
56,army,whois.nic.army
57,arpa,whois.iana.org
58,art,whois.nic.art
59,arte,whois.nic.arte
60,as,whois.nic.as
61,asda,whois.nic.asda
62,asia,whois.nic.asia
63,associates,whois.nic.associates
64,at,whois.nic.at
65,attorney,whois.nic.attorney
66,au,whois.auda.org.au
67,auction,whois.nic.auction
68,audi,whois.afilias-srs.net
69,audible,whois.nic.audible
70,audio,whois.uniregistry.net
71,auspost,whois.nic.auspost
72,author,whois.nic.author
73,auto,whois.nic.auto
74,autos,whois.afilias-srs.net
75,avianca,whois.afilias-srs.net
76,aw,whois.nic.aw
77,aws,whois.nic.aws
78,ax,whois.ax
79,baby,whois.nic.baby
80,baidu,whois.gtld.knet.cn
81,band,whois.nic.band
82,bank,whois.nic.bank
83,bar,whois.nic.bar
84,barcelona,whois.nic.barcelona
85,barclaycard,whois.nic.barclaycard
86,barclays,whois.nic.barclays
87,barefoot,whois.nic.barefoot
88,bargains,whois.nic.bargains
89,basketball,whois.nic.basketball
90,bauhaus,whois.nic.bauhaus
91,bayern,whois.nic.bayern
92,bbc,whois.nic.bbc
93,bbt,whois.nic.bbt
