id,whois_server
1,africa-whois.registry.net.za
2,capetown-whois.registry.net.za
3,ccwhois.verisign-grs.com
4,cwhois.cnnic.cn
5,durban-whois.registry.net.za
6,joburg-whois.registry.net.za
7,kero.yachay.pe
8,tvwhois.verisign-grs.com
9,whois1.nic.bi
10,whois2.afilias-grs.net
11,whois.aeda.net.ae
12,whois.aero
13,whois.afilias.net
14,whois.afilias-srs.net
15,whois-alsace.nic.fr
16,whois.amnic.net
17,whois.ati.tn
18,whois.auda.org.au
19,whois.ax
20,whois.bnnic.bn
21,whois.cctld.by
22,whois.cctld.uz
23,whois.centralnic.com
24,whois.cira.ca
25,whois.cmc.iq
26,whois.cnnic.cn
27,whois.conac.cn
28,whois-corsica.nic.fr
29,whois.co.ug
30,whois.denic.de
31,whois.dk-hostmaster.dk
32,whois.dnrs.neustar
33,whois.dns.be
34,whois.dns.hr
35,whois.dns.lu
36,whois.dns.pl
37,whois.dns.pt
38,whois.domain-registry.nl
39,whois.dominio.gq
40,whois.domreg.lt
41,whois.dot.cf
42,whois.dotgov.gov
43,whois.dot.ml
44,whois.dotpostregistry.net
45,whois.dot.tk
46,whois.dotukr.com
47,whois.educause.edu
48,whois.eu
49,whois.fi
50,whois.gg
51,whois.gtld.knet.cn
52,whois.gtlds.nic.br
53,whois.hkirc.hk
54,whois.iana.org
55,whois.id
56,whois.iis.nu
57,whois.iis.se
58,whois.imena.bg
59,whois.isnic.is
60,whois.isoc.org.il
61,whois.itdc.ge
62,whois.je
63,whois.jprs.jp
64,whois.kenic.or.ke
65,whois.kg
66,whois.kr
67,whois.kyregistry.ky
68,whois-leclerc.nic.fr
69,whois.marnet.mk
70,whois.mediaserv.net
71,whois.monic.mo
72,whois.mx
73,whois.mynic.my
74,whois.na-nic.com.na
75,whois.nc
76,whois.ngtld.cn
77,whois.nic.aarp
78,whois.nic.abc
79,whois.nic.abogado
80,whois.nic.abudhabi
81,whois.nic.ac
82,whois.nic.academy
83,whois.nic.accountant
84,whois.nic.accountants
85,whois.nic.aco
86,whois.nic.actor
87,whois.nic.adac
88,whois.nic.aeg
89,whois.nic.af
90,whois.nic.afamilycompany
91,whois.nic.afl
92,whois.nic.ag
93,whois.nic.agency
94,whois.nic.ai
95,whois.nic.airbus
96,whois.nic.airforce
97,whois.nic.airtel
98,whois.nic.alibaba
99,whois.nic.alipay
100,whois.nic.allfinanz
101,whois.nic.ally
102,whois.nic.alstom
103,whois.nic.amazon
104,whois.nic.americanfamily
105,whois.nic.amfam
106,whois.nic.amsterdam
107,whois.nic.anz
108,whois.nic.aol
109,whois.nic.apartments
110,whois.nic.aquarelle
111,whois.nic.ar
112,whois.nic.arab
113,whois.nic.army
114,whois.nic.art
115,whois.nic.arte
116,whois.nic.as
117,whois.nic.asda
118,whois.nic.asia
119,whois.nic.associates
120,whois.nic.at
121,whois.nic.attorney
122,whois.nic.auction
123,whois.nic.audible
124,whois.nic.auspost
125,whois.nic.author
126,whois.nic.auto
127,whois.nic.aw
128,whois.nic.aws
129,whois.nic.baby
130,whois.nic.band
131,whois.nic.bank
132,whois.nic.bar
133,whois.nic.barcelona
134,whois.nic.barclaycard
135,whois.nic.barclays
136,whois.nic.barefoot
137,whois.nic.bargains
138,whois.nic.basketball
139,whois.nic.bauhaus
140,whois.nic.bayern
141,whois.nic.bbc
142,whois.nic.bbt
143,whois.nic.bbva
144,whois.nic.bcg
145,whois.nic.bcn
146,whois.nic.beauty
147,whois.nic.beer
148,whois.nic.bentley
149,whois.nic.berlin
150,whois.nic.best
151,whois.nic.bestbuy
152,whois.nic.bible
153,whois.nic.bid
154,whois.nic.bike
155,whois.nic.bingo
156,whois.nic.biz
157,whois.nic.bj
158,whois.nic.blockbuster
159,whois.nic.blog
160,whois.nic.bms
161,whois.nic.bmw
162,whois.nic.bo
163,whois.nic.bofa
164,whois.nic.bond
165,whois.nic.book
166,whois.nic.bosch
167,whois.nic.bostik
168,whois.nic.boston
169,whois.nic.bot
170,whois.nic.boutique
171,whois.nic.box
172,whois.nic.bradesco
173,whois.nic.bridgestone
174,whois.nic.broadway
175,whois.nic.broker
176,whois.nic.brother
177,whois.nic.brussels
178,whois.nic.budapest
179,whois.nic.build
180,whois.nic.builders
181,whois.nic.business
182,whois.nic.buy
183,whois.nic.bzh
184,whois.nic.cab
185,whois.nic.cafe
186,whois.nic.call
187,whois.nic.cam
188,whois.nic.camera
189,whois.nic.camp
190,whois.nic.cancerresearch
191,whois.nic.canon
192,whois.nic.capital
193,whois.nic.capitalone
194,whois.nic.car
195,whois.nic.cards
196,whois.nic.care
197,whois.nic.career
198,whois.nic.careers
199,whois.nic.cars
200,whois.nic.casa
201,whois.nic.case
202,whois.nic.caseih
203,whois.nic.cash
204,whois.nic.casino
205,whois.nic.cat
206,whois.nic.catering
207,whois.nic.catholic
208,whois.nic.cba
209,whois.nic.center
210,whois.nic.ceo
211,whois.nic.cfa
212,whois.nic.cfd
213,whois.nic.ch
214,whois.nic.chanel
215,whois.nic.charity
216,whois.nic.chat
217,whois.nic.cheap
218,whois.nic.chintai
219,whois.nic.church
220,whois.nic.ci
221,whois.nic.circle
222,whois.nic.city
223,whois.nic.cityeats
224,whois.nic.cl
225,whois.nic.claims
226,whois.nic.cleaning
227,whois.nic.clinic
228,whois.nic.clinique
229,whois.nic.clothing
230,whois.nic.cloud
231,whois.nic.club
232,whois.nic.clubmed
